categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Shampoos,2,CONTROL CAIDA,PANTENE,Shampoo Pantene Control Caida X 400 Ml,5553.0,ModoMarket,https://www.modomarket.com/shampoo-pantene-control-caida-x-400-ml/p,400
Shampoos,3,ESENCIA CONTROL FRIZZ,PLUSBELLE,Shampoo Plusbelle Esencial Control Frizz X 1000 Ml,3184.0,ModoMarket,https://www.modomarket.com/shampoo-plusbelle-esencial-control-frizz-x-1000-ml/p,1000
Shampoos,4,HIDRATA Y FORTALECE,PANTENE,Shampoo Pantene Hidrata Y Fortalece X 700ml,9795.0,ModoMarket,https://www.modomarket.com/shampoo-pantene-hidrata-y-fortalece-x-700ml/p,700
Shampoos,5,BOND INTENSE REPAIR,DOVE,Shampoo Dove Bond Intense Repair X 200 Ml,3505.0,ModoMarket,https://www.modomarket.com/shampoo-dove-bond-intense-repair-x-200-ml/p,200
Shampoos,7,REVITALIZACION,PANTENE,Shampoo Pantene Revitalizacion X 400 Ml,5507.0,ModoMarket,https://www.modomarket.com/shampoo-pantene-revitalizacion-x-400-ml/p,400
Shampoos,8,FUERZA ANTIOXIDANTE,PLUSBELLE,Shampoo Plusbelle Fuerza Antioxidante X 1000 Ml,3064.0,ModoMarket,https://www.modomarket.com/shampoo-plusbelle-fuerza-antioxidante-x-1000-ml/p,1000
Shampoos,9,OLEO NUTRICION,DOVE,Shampoo Dove Oleo Nutricion X 750 Ml,9318.0,ModoMarket,https://www.modomarket.com/shampoo-dove-oleo-nutricion-x-750-ml/p,750
Shampoos,10,ESENCIA FUERZA REPARADORA,PLUSBELLE,Shampoo Plusbelle Esencia Fuerza Reparadora 970 M,3184.0,ModoMarket,https://www.modomarket.com/shampoo-plusbelle-esencia-fuerza-reparadora-970-m/p,970
Shampoos,11,H Y FORT,PANTENE,Shampoo Pantene H Y Fort 400 Ml,5507.0,ModoMarket,https://www.modomarket.com/shampoo-pantene-h-y-fort-400-ml/p,400
Shampoos,12,LISO EFECTO BOTOX,TRESEMME,Shampoo Tresemme Liso Efecto Botox X 250 Ml,3485.0,ModoMarket,https://www.modomarket.com/shampoo-tresemme-liso-efecto-botox-x-250-ml/p,250
Shampoos,13,CRECE FUERTE,HEAD & SHOULDERS,Shampoo Head & Shoulders Crece Fuerte X 375 Ml,5652.0,ModoMarket,https://www.modomarket.com/shampoo-head-shoulders-crece-fuerte-x-375-ml/p,375
Shampoos,14,REGENERACION EXTREMA,DOVE,Shampoo Dove Regeneracion Extrema X 400 Ml,4562.0,ModoMarket,https://www.modomarket.com/shampoo-dove-regeneracion-extrema-x-400-ml/p,400
Shampoos,15,RIZOS DEFINIDOS,ELVIVE,Shampoo Elvive Rizos Def 200 Ml,4164.0,ModoMarket,https://www.modomarket.com/shampoo-elvive-rizos-def-200-ml/p,200
Shampoos,16,RECON COMP,DOVE,Shampoo Dove Recon Comp 400 Ml,4562.0,ModoMarket,https://www.modomarket.com/shampoo-dove-recon-comp-400-ml/p,400
Shampoos,17,PROTECCION,PLUSBELLE,Shampoo Plusbelle Proteccion X 1000 Ml,3218.0,ModoMarket,https://www.modomarket.com/shampoo-plusbelle-proteccion-x-1000-ml/p,1000
Gaseosas,0,POMELO SIN AZUCAR,SCHWEPPES,Schweppes Pomelo S/azucares X 1.5 Lt,3042.0,ModoMarket,https://www.modomarket.com/schweppes-pomelo-sazucares-x-1-5-lt/p,1500
Gaseosas,1,SIN AZUCAR,COCA COLA,Coca Cola Sin Azucar X 1.5 Lt,2416.0,ModoMarket,https://www.modomarket.com/coca-cola-sin-azucar-x-1-5-lt/p,1500
Gaseosas,2,,COCA COLA,Coca Cola X 1.5 Lt,2416.0,ModoMarket,https://www.modomarket.com/coca-cola-x-1-5-lt/p,1500
Gaseosas,3,AGUA TONICA,SIERRA DE LOS PADRES,Agua Tonica Sierra De Los Padres X 1.5l,1099.0,ModoMarket,https://www.modomarket.com/agua-tonica-sierra-de-los-padres-x-1-5l/p,1500
Gaseosas,4,,SPRITE,Sprite X 1.5 Lt,2608.0,ModoMarket,https://www.modomarket.com/sprite-x-1-5-lt/p,1500
Gaseosas,5,SIN AZUCAR,COCA COLA,Coca Cola Sin Azucar Botella X 500 Ml,1156.0,ModoMarket,https://www.modomarket.com/coca-cola-sin-azucar-botella-x-500-ml/p,500
Gaseosas,6,TONICA,SCHWEPPES,Schweppes Tonica X 1.5 Lt,3064.0,ModoMarket,https://www.modomarket.com/schweppes-tonica-x-1-5-lt/p,1500
Gaseosas,7,SIN AZUCAR,SPRITE,Sprite X 1.5 Lt Zero,2608.0,ModoMarket,https://www.modomarket.com/sprite-x-1-5-lt-zero/p,1500
Gaseosas,8,SIN AZUCAR,SPRITE,Sprite Zero X 2.25 Lt,3443.0,ModoMarket,https://www.modomarket.com/sprite-zero-x-2-25-lt/p,2250
Gaseosas,9,SIN AZUCAR NARANJA,FANTA,Fanta Zero Naranja X 2.25 Lt,3443.0,ModoMarket,https://www.modomarket.com/fanta-zero-naranja-x-2-25-lt/p,2250
Gaseosas,10,,SPRITE,Sprite X 2.25 Lt,3443.0,ModoMarket,https://www.modomarket.com/sprite-x-2-25-lt/p,2250
Gaseosas,11,,COCA COLA,Coca Cola X 2.25 Lt,3468.0,ModoMarket,https://www.modomarket.com/coca-cola-x-2-25-lt/p,2250
Gaseosas,12,NARANJA SIN AZUCAR,FANTA,Fanta X 1.5 Lt Naranja Zero,2626.0,ModoMarket,https://www.modomarket.com/fanta-x-1-5-lt-naranja-zero/p,1500
Gaseosas,13,,COCA COLA,Coca Cola Lata X 354cc,1123.0,ModoMarket,https://www.modomarket.com/coca-cola-lata-x-354cc/p,354
