categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Yerbas,199,BOLDO,MAS SABOR,YERBA COMP. MAS SABOR BOLDO 500 GRS,1314.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/9710-yerba-comp--mas-sabor-boldo-500-grs--7793395000405.html,500
Yerbas,200,HIERBAS SERANAS,MAS SABOR,YERBA COMP. MAS SABOR HIERBAS SERANAS 500 GRS,1314.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/87963-yerba-comp--mas-sabor-hierbas-seranas-500-grs--7793395000108.html,500
Yerbas,201,NARANJA,MAS SABOR,YERBA COMP. MAS SABOR NARANJA 500 GRS,1642.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/28575-yerba-comp--mas-sabor-naranja-500-grs--7793395000382.html,500
Yerbas,202,PEPERINA,MAS SABOR,YERBA COMP. MAS SABOR PEPERINA 500 GRS,1314.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/28578-yerba-comp--mas-sabor-peperina-500-grs--7793395000412.html,500
Yerbas,203,HIERBAS PAMPEA,CACHAMATE,YERBA COMP. CACHAMATE HIERBAS PAMPEA 500 GRS,1482.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/5498-yerba-comp--cachamate-hierbas-pampea-500-grs--7792280000094.html,500
Yerbas,204,LITORAL,CACHAMATE,YERBA COMP. CACHAMATE LITORAL 500 GRS,1482.3,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/79406-yerba-comp--cachamate-litoral-500-grs--7792280000605.html,500
Yerbas,205,BURRITO,DON ARREGUI,YERBA COMP. DON ARREGUI BURRITO 500 GRS,1394.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/28784-yerba-comp--don-arregui-burrito-500-grs--7798067630485.html,500
Yerbas,206,MENTA,DON ARREGUI,YERBA COMP. DON ARREGUI MENTA 500 GRS,1394.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/88001-yerba-comp--don-arregui-menta-500-grs--7798067630041.html,500
Yerbas,207,C/BOLDO,DON ARREGUI,YERBA COMP. DON ARREGUI C/BOLDO 500 GRS,1414.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/91997-yerba-comp--don-arregui-c-boldo-500-grs--7798067630508.html,500
Yerbas,208,PEPERINA,DON ARREGUI,YERBA COMP. DON ARREGUI PEPERINA 500 GRS,1394.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/30967-yerba-comp--don-arregui-peperina-500-grs--7798067630034.html,500
Yerbas,209,CEDRON,DON ARREGUI,YERBA COMP. DON ARREGUI CEDRON 500 GRS,1394.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/30970-yerba-comp--don-arregui-cedron-500-grs--7798067630027.html,500
Yerbas,210,CON PALO CAMPO,LA MERCED,YERBA C/PALO LA MERCED CAMPO 500 GRS,3794.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/62078-yerba-c-palo-la-merced-campo-500-grs--7790387015607.html,500
Yerbas,211,MENTA,VERDEFLOR,YERBA COMP. VERDEFLOR +MENTA 500 GRS,1500.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/44088-yerba-comp--verdeflor--menta-500-grs--7793670000670.html,500
Yerbas,212,CID HIERBAS SERRANA,YERBACID,YERBA COMP. YERBACID HIERBAS SERRANA 500 GRS,1369.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/95767-yerba-comp--yerbacid-hierbas-serrana-500-grs--7792000000021.html,500
Yerbas,213,LIMON,MAS SABOR,YERBA COMP. MAS SABOR LIMON 500 GRS,1544.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/28579-yerba-comp--mas-sabor-limon-500-grs--7793395000375.html,500
Yerbas,214,CON PALO,PLAYADITO,YERBA C/PALO PLAYADITO   1000 GRS,4070.0,Atomo,https://atomoconviene.com/atomo-ecommerce/yerba-mate/56312-yerba-c-palo-playadito---1000-grs--7793704000928.html,1000
Jabones,215,ANTIB. 3 EN 1,NIVEA,JABON ANTIB. NIVEA 3 EN 1 270 GRS,3238.0,Atomo,https://atomoconviene.com/atomo-ecommerce/jabones/91743-jabon-antib--nivea-3-en-1-270-grs--4006000050461.html,270
Jabones,216,GLICERINA ORQUIDEAS,NIVEA,JABON GLICERINA NIVEA ORQUIDEAS 270 GRS,3261.0,Atomo,https://atomoconviene.com/atomo-ecommerce/jabones/91742-jabon-glicerina-nivea-orquideas-270-grs--4006000050201.html,270
Jabones,217,GLICERINA BROMELIA,LUX,JABON GLICERINA LUX BROMELIA 270 GRS,2327.65,Atomo,https://atomoconviene.com/atomo-ecommerce/jabones/80730-jabon-glicerina-lux-bromelia-270-grs--7791293048055.html,270
Jabones,218,COTTON,REXONA,JABON TOCADOR REXONA COTTON 120 GRS,938.0,Atomo,https://atomoconviene.com/atomo-ecommerce/jabones/77731-jabon-tocador-rexona-cotton-120-grs--7791293050980.html,120
Jabones,219,FLOR VAINILLA,LUX,JABON TOCADOR LUX FLOR VAINILLA 120 GRS,1047.0,Atomo,https://atomoconviene.com/atomo-ecommerce/jabones/74313-jabon-tocador-lux-flor-vainilla-120-grs--7791293050782.html,120
Jabones,220,PIEL SENSIBLE,DOVE,JABON TOCADOR DOVE PIEL SENSIBLE 90 GRS,1644.0,Atomo,https://atomoconviene.com/atomo-ecommerce/jabones/74021-jabon-tocador-dove-piel-sensible-90-grs--7891150095618.html,90
